feature_group,model,split,status,feature_count,features,MAE,RMSE,MAPE,R2,n
baseline_time_only,RandomForest,validation,ok,7,"hour, month, day_of_year, sin_hour, cos_hour, sin_day_of_year, cos_day_of_year",1.649519077292831,2.0304237056052186,138.70047519808134,0.2875998036212246,79346
baseline_time_only,RandomForest,test,ok,7,"hour, month, day_of_year, sin_hour, cos_hour, sin_day_of_year, cos_day_of_year",2.382595177862741,2.666193801309299,238.71131009818515,-2.8861207484523694,79347
baseline_irradiance_only,RandomForest,validation,ok,4,"Global_Horizontal_Radiation, Diffuse_Horizontal_Radiation, Radiation_Global_Tilted, Radiation_Diffuse_Tilted",1.1239464100367806,1.6192260490497834,67.75967433496784,0.5469296480459055,79346
baseline_irradiance_only,RandomForest,test,ok,4,"Global_Horizontal_Radiation, Diffuse_Horizontal_Radiation, Radiation_Global_Tilted, Radiation_Diffuse_Tilted",2.351511837407262,2.6049440580741483,158.94482456679285,-2.7096220491807608,79347
time_plus_irradiance,RandomForest,validation,ok,11,"hour, month, day_of_year, sin_hour, cos_hour, sin_day_of_year, cos_day_of_year, Global_Horizontal_Radiation, Diffuse_Horizontal_Radiation, Radiation_Global_Tilted, Radiation_Diffuse_Tilted",1.0983518179206844,1.5752930437394952,65.06530358625795,0.5711816213248093,79346
time_plus_irradiance,RandomForest,test,ok,11,"hour, month, day_of_year, sin_hour, cos_hour, sin_day_of_year, cos_day_of_year, Global_Horizontal_Radiation, Diffuse_Horizontal_Radiation, Radiation_Global_Tilted, Radiation_Diffuse_Tilted",2.2942497427859365,2.5559906134233006,156.02722149251608,-2.571505893924086,79347
time_irradiance_temperature,RandomForest,validation,ok,12,"hour, month, day_of_year, sin_hour, cos_hour, sin_day_of_year, cos_day_of_year, Global_Horizontal_Radiation, Diffuse_Horizontal_Radiation, Radiation_Global_Tilted, Radiation_Diffuse_Tilted, Weather_Temperature_Celsius",1.0956291368372424,1.5786273591505224,65.07691799508419,0.5693643988962791,79346
time_irradiance_temperature,RandomForest,test,ok,12,"hour, month, day_of_year, sin_hour, cos_hour, sin_day_of_year, cos_day_of_year, Global_Horizontal_Radiation, Diffuse_Horizontal_Radiation, Radiation_Global_Tilted, Radiation_Diffuse_Tilted, Weather_Temperature_Celsius",2.3047596406232094,2.5673522642499105,156.2590305132245,-2.6033279122818676,79347
time_irradiance_humidity,RandomForest,validation,ok,12,"hour, month, day_of_year, sin_hour, cos_hour, sin_day_of_year, cos_day_of_year, Global_Horizontal_Radiation, Diffuse_Horizontal_Radiation, Radiation_Global_Tilted, Radiation_Diffuse_Tilted, Weather_Relative_Humidity",1.1128336987334941,1.5967247335132744,65.67982117681959,0.5594341956272892,79346
time_irradiance_humidity,RandomForest,test,ok,12,"hour, month, day_of_year, sin_hour, cos_hour, sin_day_of_year, cos_day_of_year, Global_Horizontal_Radiation, Diffuse_Horizontal_Radiation, Radiation_Global_Tilted, Radiation_Diffuse_Tilted, Weather_Relative_Humidity",2.315618403298606,2.5804753782861676,156.94512223226883,-2.64025914144775,79347
time_irradiance_wind,RandomForest,validation,ok,14,"hour, month, day_of_year, sin_hour, cos_hour, sin_day_of_year, cos_day_of_year, Global_Horizontal_Radiation, Diffuse_Horizontal_Radiation, Radiation_Global_Tilted, Radiation_Diffuse_Tilted, Wind_Speed, wind_direction_sin, wind_direction_cos",1.0356633557810546,1.4865217053550719,60.567365029868746,0.6181496528040809,79346
time_irradiance_wind,RandomForest,test,ok,14,"hour, month, day_of_year, sin_hour, cos_hour, sin_day_of_year, cos_day_of_year, Global_Horizontal_Radiation, Diffuse_Horizontal_Radiation, Radiation_Global_Tilted, Radiation_Diffuse_Tilted, Wind_Speed, wind_direction_sin, wind_direction_cos",2.1153845822021418,2.3881996172871065,144.97844612186844,-2.1179856406915865,79347
time_irradiance_rainfall,RandomForest,validation,ok,13,"hour, month, day_of_year, sin_hour, cos_hour, sin_day_of_year, cos_day_of_year, Global_Horizontal_Radiation, Diffuse_Horizontal_Radiation, Radiation_Global_Tilted, Radiation_Diffuse_Tilted, Weather_Daily_Rainfall, rain_indicator",1.0984823224228437,1.575161008420761,65.08381892259634,0.5712535022979732,79346
time_irradiance_rainfall,RandomForest,test,ok,13,"hour, month, day_of_year, sin_hour, cos_hour, sin_day_of_year, cos_day_of_year, Global_Horizontal_Radiation, Diffuse_Horizontal_Radiation, Radiation_Global_Tilted, Radiation_Diffuse_Tilted, Weather_Daily_Rainfall, rain_indicator",2.295459339029214,2.5573813913986054,156.07136687748775,-2.5753936414694825,79347
full_weather,RandomForest,validation,ok,18,"hour, month, day_of_year, sin_hour, cos_hour, sin_day_of_year, cos_day_of_year, Global_Horizontal_Radiation, Diffuse_Horizontal_Radiation, Radiation_Global_Tilted, Radiation_Diffuse_Tilted, Weather_Temperature_Celsius, Weather_Relative_Humidity, Wind_Speed, wind_direction_sin, wind_direction_cos, Weather_Daily_Rainfall, rain_indicator",1.0432045227639177,1.4989365220580724,60.88116608095964,0.6117449056298865,79346
full_weather,RandomForest,test,ok,18,"hour, month, day_of_year, sin_hour, cos_hour, sin_day_of_year, cos_day_of_year, Global_Horizontal_Radiation, Diffuse_Horizontal_Radiation, Radiation_Global_Tilted, Radiation_Diffuse_Tilted, Weather_Temperature_Celsius, Weather_Relative_Humidity, Wind_Speed, wind_direction_sin, wind_direction_cos, Weather_Daily_Rainfall, rain_indicator",2.1272369352387774,2.390973258521716,145.46388751981857,-2.125232267354361,79347
