feature,importance_mean,importance_std
Radiation_Global_Tilted,0.5005134662688928,0.004212060143811677
Global_Horizontal_Radiation,0.07531159088314139,0.0010613656569092734
sin_day_of_year,0.016555430429611474,0.0010113813595245306
wind_direction_sin,0.007733117626847363,0.000330509478988227
Weather_Temperature_Celsius,0.0035858560269022453,0.0003233431863394514
Diffuse_Horizontal_Radiation,0.00030807457237527205,0.0003803903830584482
Wind_Speed,0.0,0.0
month,-8.596907222058192e-05,5.053923384313315e-05
Weather_Daily_Rainfall,-0.00041685638244386424,3.132709407285685e-05
rain_indicator,-0.0004892419385965852,9.889899047800336e-06
day_of_year,-0.0005276581396834068,0.00047712354956585954
Wind_Direction,-0.00664208985567667,0.00047146608014379744
wind_direction_cos,-0.007628848831734025,0.0006457661910777204
cos_day_of_year,-0.008347226789587303,0.0007134177032534904
hour,-0.01393314287522287,0.00016368068343991984
tilted_to_global_ratio,-0.016447515956645998,0.00048322556695941534
cos_hour,-0.017743099900028092,0.00033744706816767793
sin_hour,-0.0204055740513164,0.00025141569149058637
Weather_Relative_Humidity,-0.027486559610717796,0.0004745929362724305
Radiation_Diffuse_Tilted,-0.04115701163396297,0.001014938605832566
