,count,mean,min,25%,50%,75%,max,std
timestamp,744,2024-01-16 11:29:59.999999744,2024-01-01 00:00:00,2024-01-08 17:45:00,2024-01-16 11:30:00,2024-01-24 05:15:00,2024-01-31 23:00:00,
era5_temperature_c,744.0,32.13239247311828,19.1,28.2,32.2,36.2,42.9,4.872952424519002
era5_relative_humidity_pct,744.0,35.600806451612904,9.0,21.0,32.0,47.0,90.0,18.30298461037296
era5_precipitation_mm,744.0,0.009005376344086023,0.0,0.0,0.0,0.0,1.5,0.07327802454270363
era5_cloud_cover_pct,744.0,47.715053763440864,0.0,17.0,44.0,81.0,100.0,34.307641348679454
era5_ghi_wm2,744.0,303.40725806451616,0.0,0.0,68.5,632.25,1105.0,368.46843101937816
era5_dni_wm2,744.0,312.3688172043011,0.0,0.0,127.0,651.05,986.4,349.50795398839733
era5_dhi_wm2,744.0,76.31989247311827,0.0,0.0,37.0,129.25,472.0,92.23860060869069
era5_gti_wm2,744.0,282.5016129032258,0.0,0.0,48.25,584.375,1079.2,353.10414211545486
era5_wind_speed_ms,744.0,4.5331182795698926,0.5,2.95,4.25,6.04,9.59,1.9092200198618943
era5_wind_direction_deg,744.0,129.11021505376345,2.0,84.75,116.0,151.25,360.0,75.16362557006282
era5_surface_pressure_hpa,744.0,946.2162634408603,939.0,944.1,946.4,948.4,953.2,2.8737389913721154
